2023-08-01,Nhân Viên Hỗ Trợ Kỹ Thuật [Quận Long Biên-Hà Nội],IT Operations / DevOps / Support,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,7 - 10 triệu,7000000.0,10000000.0,VND
2023-08-01,Senior Game Client Developer (Unity/C),Developer / Engineer,CÔNG TY TNHH ONEUNIVERSE VN,thoả thuận,,,
2023-08-01,PHP Developer [HN],Developer / Engineer,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ BAVAAN,thoả thuận,,,
2023-08-01,Chuyên Viên Kiểm Soát Quy Trình Phát Triển Phần Mềm (Pqa),Developer / Engineer,Công ty An ninh mạng Viettel- Chi nhánh Tập đoàn Công nghiệp- Viễn thông quân đội,20 - 40 triệu,20000000.0,40000000.0,VND
2023-08-01,Job .Net Developer [HN],Developer / Engineer,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ BAVAAN,thoả thuận,,,
2023-08-01,Technical Support Engineer (Open For Fresher) Salary Upto 15M,Developer / Engineer,Công ty TNHH Insights.,8 - 15 triệu,8000000.0,15000000.0,VND
2023-08-01,Senior C Developer,Developer / Engineer,Công ty TNHH DZS Việt Nam,"tới 2,000 usd",,2000.0,USD
2023-08-01,Junior C Developer,Developer / Engineer,Công ty TNHH DZS Việt Nam,tới 750 usd,,750.0,USD
2023-08-01,Lập Trình Viên .Net/C# (Fresher 6 Tháng Kn- Lương 8-15Tr/Tháng),Developer / Engineer,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,8 - 15 triệu,8000000.0,15000000.0,VND
2023-08-01,Kỹ Sư Lập Trình Nhúng (Up To 28M),Developer / Engineer,Công ty cổ phần công nghệ - viễn thông Elcom,tới 28 triệu,,28000000.0,VND
2023-08-01,Tester (Thu Nhập 15M - 25M),Tester / QA,CÔNG TY CỔ PHẦN TẬP ĐOÀN MEDIC GROUP,12 - 20 triệu,12000000.0,20000000.0,VND
2023-08-01,Senior Java Developer,Developer / Engineer,Công ty TNHH Hệ thống Thông Tin FPT,tới 30 triệu,,30000000.0,VND
2023-08-01,Android Developer (Kotlin/Java),Developer / Engineer,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI QUỐC TẾ LIM,13 - 18 triệu,13000000.0,18000000.0,VND
2023-08-01,Fresher Mobile Developer (React Native),Developer / Engineer,CÔNG TY CỔ PHẦN ESTUARY,thoả thuận,,,
2023-08-01,PHP Laravel - From Mid. - Up To 2000K Usd,Developer / Engineer,Công ty Cổ phần Voyager,"1,000 - 2,000 usd",1000.0,2000.0,USD
2023-08-01,IT Developer,Developer / Engineer,SOLEMAX,thoả thuận,,,
2023-08-01,Nhân Viên Middle Sre/Devsecops (Aws),Developer / Engineer,CÔNG TY CỔ PHẦN GV ASIA,tới 30 triệu,,30000000.0,VND
2023-08-01,Nhân Viên IOS Developer (Swift),Developer / Engineer,CÔNG TY CỔ PHẦN GV ASIA,13 - 20 triệu,13000000.0,20000000.0,VND
2023-08-01,Thực Tập Sinh Nodejs,Developer / Engineer,Công ty Cổ phần Công nghệ Lifetek,thoả thuận,,,
2023-08-01,Iot Embedded Engineer (Offer Upto $2000),Developer / Engineer,Công Ty Cổ Phần Công Nghệ VMO Holdings,tới 50 triệu,,50000000.0,VND
2023-08-01,IT Manager (Microsoft-Based),Business / Analyst / Product,Công Ty Cổ Phần Công Nghệ VMO Holdings,"tới 1,500 usd",,1500.0,USD
